,Keyword,Views,lang,Top 3 Pages,Class
62,aizazengineer,434163.0,nl,"130000.0: https://www.youtube.com/watch?v=HJ6jmRV6swg&pp=ygUGQml0Z2V0
120000.0: https://www.youtube.com/watch?v=uS-p4L88BSg&pp=ygUGQml0Z2V0
100000.0: https://www.youtube.com/watch?v=-YYCIXMVECQ&pp=ygUGQml0Z2V0",Bitget
63,airdrop,426769.0,fr,"2980000.0: https://www.youtube.com/watch?v=hkc8NBPvZjc&pp=ygUGQml0Z2V0
200000.0: https://www.youtube.com/watch?v=ff_Hw8gy9eg&pp=ygUGQml0Z2V0
130000.0: https://www.youtube.com/watch?v=HJ6jmRV6swg&pp=ygUGQml0Z2V0",Bitget
64,sh_tech_official,405000.0,es,"150000.0: https://www.youtube.com/watch?v=4DpJeWtfNXA&pp=ygUGQml0Z2V0
130000.0: https://www.youtube.com/watch?v=y_ZjpcH462Q&pp=ygUGQml0Z2V0
48000.0: https://www.youtube.com/watch?v=GYuCNWjRYs8&pp=ygUGQml0Z2V0",Bitget
65,nimc,359000.0,en,"230000.0: https://www.youtube.com/watch?v=Lbcc0PhC12c&pp=ygUGQml0Z2V0
76000.0: https://www.youtube.com/watch?v=PTzQ6J94GCY&pp=ygUGQml0Z2V0
42000.0: https://www.youtube.com/watch?v=lUB-7OCHkuA&pp=ygUGQml0Z2V0",Bitget
66,nin,359000.0,en,"230000.0: https://www.youtube.com/watch?v=Lbcc0PhC12c&pp=ygUGQml0Z2V0
130000.0: https://www.youtube.com/watch?v=HJ6jmRV6swg&pp=ygUGQml0Z2V0
110000.0: https://www.youtube.com/watch?v=QvUUdv8wBRA&pp=ygUGQml0Z2V0",Bitget
67,cryptotrading,338948.0,es,"100000.0: https://www.youtube.com/watch?v=YvtBaJNLwNg&pp=ygUGQml0Z2V0
96000.0: https://www.youtube.com/watch?v=tQBTUSMzi1I&pp=ygUGQml0Z2V0
57000.0: https://www.youtube.com/watch?v=PTcoS-PpaA4&pp=ygUGQml0Z2V0",Bitget
68,Cryptocurrency,301393.0,en,"100000.0: https://www.youtube.com/watch?v=nEW4xC7nWKk&pp=ygUGQml0Z2V0
47000.0: https://www.youtube.com/watch?v=BOjDIV3AY-M&pp=ygUGQml0Z2V0
38000.0: https://www.youtube.com/watch?v=D4HV4Fm4068&pp=ygUGQml0Z2V0",Bitget
69,trading,292159.0,en,"110000.0: https://www.youtube.com/watch?v=QvUUdv8wBRA&pp=ygUGQml0Z2V0
100000.0: https://www.youtube.com/watch?v=YvtBaJNLwNg&pp=ygUGQml0Z2V0
96000.0: https://www.youtube.com/watch?v=tQBTUSMzi1I&pp=ygUGQml0Z2V0",Bitget
70,binance,269548.0,en,"510000.0: https://www.youtube.com/watch?v=Hem2e4xWpo8&pp=ygUGQml0Z2V0
120000.0: https://www.youtube.com/watch?v=uS-p4L88BSg&pp=ygUGQml0Z2V0
100000.0: https://www.youtube.com/watch?v=nEW4xC7nWKk&pp=ygUGQml0Z2V0",Bitget
71,catsairdropclaim,267000.0,fr,"120000.0: https://www.youtube.com/watch?v=uS-p4L88BSg&pp=ygUGQml0Z2V0
100000.0: https://www.youtube.com/watch?v=-YYCIXMVECQ&pp=ygUGQml0Z2V0
47000.0: https://www.youtube.com/watch?v=D30yQZUS8Qw&pp=ygUGQml0Z2V0",Bitget
72,catswithdrawal,243000.0,en,"120000.0: https://www.youtube.com/watch?v=uS-p4L88BSg&pp=ygUGQml0Z2V0
100000.0: https://www.youtube.com/watch?v=-YYCIXMVECQ&pp=ygUGQml0Z2V0
23000.0: https://www.youtube.com/watch?v=S5ZFj9cgAcQ&pp=ygUGQml0Z2V0",Bitget
73,makemoneyonline,238005.0,en,"110000.0: https://www.youtube.com/watch?v=QvUUdv8wBRA&pp=ygUGQml0Z2V0
53000.0: https://www.youtube.com/watch?v=yHhwH2sn1D8&pp=ygUGQml0Z2V0
41000.0: https://www.youtube.com/watch?v=DRvAvHl-H_Y&pp=ygUGQml0Z2V0",Bitget
74,bitgeteaccount,226000.0,nl,"200000.0: https://www.youtube.com/watch?v=ff_Hw8gy9eg&pp=ygUGQml0Z2V0
26000.0: https://www.youtube.com/watch?v=JsfnLeKFq14&pp=ygUGQml0Z2V0",Bitget
75,Bitgete,226000.0,nl,"200000.0: https://www.youtube.com/watch?v=ff_Hw8gy9eg&pp=ygUGQml0Z2V0
45000.0: https://www.youtube.com/watch?v=TF3Hc4EzvoQ&pp=ygUGQml0Z2V0
26000.0: https://www.youtube.com/watch?v=JsfnLeKFq14&pp=ygUGQml0Z2V0",Bitget
76,BitgeteExchanger,226000.0,de,"200000.0: https://www.youtube.com/watch?v=ff_Hw8gy9eg&pp=ygUGQml0Z2V0
26000.0: https://www.youtube.com/watch?v=JsfnLeKFq14&pp=ygUGQml0Z2V0",Bitget
77,bitgeteexchange,226000.0,nl,"200000.0: https://www.youtube.com/watch?v=ff_Hw8gy9eg&pp=ygUGQml0Z2V0
26000.0: https://www.youtube.com/watch?v=JsfnLeKFq14&pp=ygUGQml0Z2V0",Bitget
78,bitgetaccountkivabekhulbo,226000.0,nl,"200000.0: https://www.youtube.com/watch?v=ff_Hw8gy9eg&pp=ygUGQml0Z2V0
26000.0: https://www.youtube.com/watch?v=JsfnLeKFq14&pp=ygUGQml0Z2V0",Bitget
79,bitgete_account_create,226000.0,nl,"200000.0: https://www.youtube.com/watch?v=ff_Hw8gy9eg&pp=ygUGQml0Z2V0
26000.0: https://www.youtube.com/watch?v=JsfnLeKFq14&pp=ygUGQml0Z2V0",Bitget
80,RIROBIN,225000.0,en,"200000.0: https://www.youtube.com/watch?v=-dTVCbocrdk&pp=ygUGQml0Z2V0
25000.0: https://www.youtube.com/watch?v=ZotktVqDDr8&pp=ygUGQml0Z2V0",Bitget
81,WaqarZaka,223000.0,en,"170000.0: https://www.youtube.com/watch?v=gOPAt0OiKWc&pp=ygUGQml0Z2V0
53000.0: https://www.youtube.com/watch?v=oC7_DaX_HQc&pp=ygUGQml0Z2V0",Bitget
82,catspremarket,220000.0,sl,"120000.0: https://www.youtube.com/watch?v=uS-p4L88BSg&pp=ygUGQml0Z2V0
100000.0: https://www.youtube.com/watch?v=-YYCIXMVECQ&pp=ygUGQml0Z2V0",Bitget
83,catsbinance,220000.0,en,"120000.0: https://www.youtube.com/watch?v=uS-p4L88BSg&pp=ygUGQml0Z2V0
100000.0: https://www.youtube.com/watch?v=-YYCIXMVECQ&pp=ygUGQml0Z2V0",Bitget
84,catscryptocurrency,220000.0,de,"120000.0: https://www.youtube.com/watch?v=uS-p4L88BSg&pp=ygUGQml0Z2V0
100000.0: https://www.youtube.com/watch?v=-YYCIXMVECQ&pp=ygUGQml0Z2V0",Bitget
85,catsvaluecurrentprice,220000.0,en,"120000.0: https://www.youtube.com/watch?v=uS-p4L88BSg&pp=ygUGQml0Z2V0
100000.0: https://www.youtube.com/watch?v=-YYCIXMVECQ&pp=ygUGQml0Z2V0",Bitget
86,catslaunchpool,220000.0,en,"120000.0: https://www.youtube.com/watch?v=uS-p4L88BSg&pp=ygUGQml0Z2V0
100000.0: https://www.youtube.com/watch?v=-YYCIXMVECQ&pp=ygUGQml0Z2V0",Bitget
87,tomarketstarcollect,214000.0,de,"130000.0: https://www.youtube.com/watch?v=HJ6jmRV6swg&pp=ygUGQml0Z2V0
84000.0: https://www.youtube.com/watch?v=QAwyaXtWkbc&pp=ygUGQml0Z2V0",Bitget
88,tomarketnewproject,214000.0,en,"130000.0: https://www.youtube.com/watch?v=HJ6jmRV6swg&pp=ygUGQml0Z2V0
84000.0: https://www.youtube.com/watch?v=QAwyaXtWkbc&pp=ygUGQml0Z2V0",Bitget
89,tomarketnewupdatesairdrop,214000.0,en,"130000.0: https://www.youtube.com/watch?v=HJ6jmRV6swg&pp=ygUGQml0Z2V0
84000.0: https://www.youtube.com/watch?v=QAwyaXtWkbc&pp=ygUGQml0Z2V0",Bitget
90,tomarketpremarketlist,214000.0,sl,"130000.0: https://www.youtube.com/watch?v=HJ6jmRV6swg&pp=ygUGQml0Z2V0
84000.0: https://www.youtube.com/watch?v=QAwyaXtWkbc&pp=ygUGQml0Z2V0",Bitget
91,tomarketairdrops,214000.0,fr,"130000.0: https://www.youtube.com/watch?v=HJ6jmRV6swg&pp=ygUGQml0Z2V0
84000.0: https://www.youtube.com/watch?v=QAwyaXtWkbc&pp=ygUGQml0Z2V0",Bitget
92,tomarketearningmoney,214000.0,en,"130000.0: https://www.youtube.com/watch?v=HJ6jmRV6swg&pp=ygUGQml0Z2V0
84000.0: https://www.youtube.com/watch?v=QAwyaXtWkbc&pp=ygUGQml0Z2V0",Bitget
93,tomatonewproject,214000.0,en,"130000.0: https://www.youtube.com/watch?v=HJ6jmRV6swg&pp=ygUGQml0Z2V0
84000.0: https://www.youtube.com/watch?v=QAwyaXtWkbc&pp=ygUGQml0Z2V0",Bitget
94,Bitcoin,192675.0,en,"51000.0: https://www.youtube.com/watch?v=rXWCNSrRAYE&pp=ygUGQml0Z2V0
38000.0: https://www.youtube.com/watch?v=9shn_H7bXS8&pp=ygUGQml0Z2V0
30000.0: https://www.youtube.com/watch?v=fl_LSrGSLsw&pp=ygUGQml0Z2V0",Bitget
95,CryptoTrading,185996.0,en,"38000.0: https://www.youtube.com/watch?v=D4HV4Fm4068&pp=ygUGQml0Z2V0
38000.0: https://www.youtube.com/watch?v=D4HV4Fm4068&pp=ygUGQml0Z2V0
32000.0: https://www.youtube.com/watch?v=HzN5FR91PBY&pp=ygUGQml0Z2V0",Bitget
96,Binance,182447.0,en,"100000.0: https://www.youtube.com/watch?v=nEW4xC7nWKk&pp=ygUGQml0Z2V0
51000.0: https://www.youtube.com/watch?v=rXWCNSrRAYE&pp=ygUGQml0Z2V0
30000.0: https://www.youtube.com/watch?v=fl_LSrGSLsw&pp=ygUGQml0Z2V0",Bitget
97,BitgetTutorial,167171.0,nl,"50000.0: https://www.youtube.com/watch?v=5lERfApr3W4&pp=ygUGQml0Z2V0
32000.0: https://www.youtube.com/watch?v=HzN5FR91PBY&pp=ygUGQml0Z2V0
18000.0: https://www.youtube.com/watch?v=B6kpseaG8hg&pp=ygUGQml0Z2V0",Bitget
98,CryptoExchange,167159.0,en,"70000.0: https://www.youtube.com/watch?v=sNGidAfSbFI&pp=ygUGQml0Z2V0
38000.0: https://www.youtube.com/watch?v=D4HV4Fm4068&pp=ygUGQml0Z2V0
38000.0: https://www.youtube.com/watch?v=D4HV4Fm4068&pp=ygUGQml0Z2V0",Bitget
99,cypto,163000.0,en,"100000.0: https://www.youtube.com/watch?v=AWnWiKa3Q9w&pp=ygUGQml0Z2V0
63000.0: https://www.youtube.com/watch?v=fqWicfGjK-Y&pp=ygUGQml0Z2V0",Bitget
100,passiveincome,161576.0,de,"100000.0: https://www.youtube.com/watch?v=nEW4xC7nWKk&pp=ygUGQml0Z2V0
27000.0: https://www.youtube.com/watch?v=B1jjqsNrKfY&pp=ygUGQml0Z2V0
17000.0: https://www.youtube.com/watch?v=iEy-eullawE&pp=ygUGQml0Z2V0",Bitget
101,bitgetaccount,156728.0,nl,"200000.0: https://www.youtube.com/watch?v=ff_Hw8gy9eg&pp=ygUGQml0Z2V0
82000.0: https://www.youtube.com/watch?v=hbcvnUzZUI0&pp=ygUGQml0Z2V0
62000.0: https://www.youtube.com/watch?v=WCjnsuKObJ4&pp=ygUGQml0Z2V0",Bitget
102,cats_token_withdraw,150000.0,en,150000.0: https://www.youtube.com/watch?v=4DpJeWtfNXA&pp=ygUGQml0Z2V0,Bitget
103,cats_withdraw,150000.0,en,150000.0: https://www.youtube.com/watch?v=4DpJeWtfNXA&pp=ygUGQml0Z2V0,Bitget
104,earnmoneyonline,149633.0,en,"100000.0: https://www.youtube.com/watch?v=AWnWiKa3Q9w&pp=ygUGQml0Z2V0
33000.0: https://www.youtube.com/watch?v=2hy7hb5xmVM&pp=ygUGQml0Z2V0
14000.0: https://www.youtube.com/watch?v=qzuUo16lk7o&pp=ygUGQml0Z2V0",Bitget
105,gnflearning,147000.0,en,"110000.0: https://www.youtube.com/watch?v=QvUUdv8wBRA&pp=ygUGQml0Z2V0
37000.0: https://www.youtube.com/watch?v=F6tSSDAa5Nk&pp=ygUGQml0Z2V0",Bitget
