,Keyword,Views,lang,Top 3 Pages,Class
99,vegan,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
100,EasyVeganRecipes,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
101,foodie,3480000.0,de,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
102,MexicanVeganRecipe,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
103,MexicanRiceAndBeansRecipe,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
104,MexicanRecipes,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
105,RiceAndBeansRecipe,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
106,HealthyVeganRecipes,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
107,VeganFood,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
108,HealthyRecipes,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
109,EasyMexicanRiceRecipe,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
110,rice,3480000.0,en,"3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D
1620000.0: https://www.youtube.com/watch?v=Hdd3l4eiMYM&pp=ygUETWV4Yw%3D%3D
20000.0: https://www.youtube.com/watch?v=ql2Y9Hn0foE&pp=ygUETWV4Yw%3D%3D",Mexc
111,taptoearn,3470159.0,nl,"2980000.0: https://www.youtube.com/watch?v=hkc8NBPvZjc&pp=ygUGQml0Z2V0
470000.0: https://www.youtube.com/watch?v=AzbBo2oOgJI&pp=ygUGQml0Z2V0
16000.0: https://www.youtube.com/watch?v=vjhmfvVdMGU&pp=ygUGQml0Z2V0",Bitget
112,telegramapp,3450000.0,en,"2980000.0: https://www.youtube.com/watch?v=hkc8NBPvZjc&pp=ygUGQml0Z2V0
470000.0: https://www.youtube.com/watch?v=AzbBo2oOgJI&pp=ygUGQml0Z2V0",Bitget
113,tomarketwithdrawal,3258000.0,en,"2980000.0: https://www.youtube.com/watch?v=hkc8NBPvZjc&pp=ygUGQml0Z2V0
130000.0: https://www.youtube.com/watch?v=HJ6jmRV6swg&pp=ygUGQml0Z2V0
84000.0: https://www.youtube.com/watch?v=QAwyaXtWkbc&pp=ygUGQml0Z2V0",Bitget
114,tomarketairdrop,3256130.0,fr,"2980000.0: https://www.youtube.com/watch?v=hkc8NBPvZjc&pp=ygUGQml0Z2V0
130000.0: https://www.youtube.com/watch?v=HJ6jmRV6swg&pp=ygUGQml0Z2V0
84000.0: https://www.youtube.com/watch?v=QAwyaXtWkbc&pp=ygUGQml0Z2V0",Bitget
115,Bingx,3219683.0,en,"1790000.0: https://www.youtube.com/watch?v=M9KLVjXmfjU&pp=ygUFQmluZ3g%3D
460000.0: https://www.youtube.com/watch?v=MGNB0Tchbqc&pp=ygUFQmluZ3g%3D
460000.0: https://www.youtube.com/watch?v=qYovRdLh5uY&pp=ygUFQmluZ3g%3D",Bingx
116,travel,3170000.0,en,"1750000.0: https://www.youtube.com/watch?v=GUMXv0VEtoc&pp=ygUETWV4Yw%3D%3D
1420000.0: https://www.youtube.com/watch?v=UFPxOpJw_eI&pp=ygUETWV4Yw%3D%3D",Mexc
117,mexicanjumpingbeans,3110000.0,sl,3110000.0: https://www.youtube.com/watch?v=3lkdidU79TY&pp=ygUETWV4Yw%3D%3D,Mexc
118,deeplook,3110000.0,en,3110000.0: https://www.youtube.com/watch?v=3lkdidU79TY&pp=ygUETWV4Yw%3D%3D,Mexc
