Keyword,Views,lang,Top 3 Pages,Class
Safemoontokenbuy,78000.0,de,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
Safemoontoken,78000.0,nl,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
Safemoonstacking,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
tradecryptos,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
CRYPTO,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
Safemoonwithdraw,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
Safemoonbuy,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
Safemoonswap,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
TradeCrypto,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
CRYPTOCURRENCY,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
AvalancheAvax,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
