Keyword,Views,lang,Top 3 Pages,Class
witnessprotection,430000.0,en,430000.0: https://www.youtube.com/watch?v=XeApthRzOGw&pp=ygUETWV4Yw%3D%3D,Mexc
marklaita,430000.0,en,430000.0: https://www.youtube.com/watch?v=XeApthRzOGw&pp=ygUETWV4Yw%3D%3D,Mexc
reformedgangsters,430000.0,da,430000.0: https://www.youtube.com/watch?v=XeApthRzOGw&pp=ygUETWV4Yw%3D%3D,Mexc
softwhiteunderbelly,430000.0,de,430000.0: https://www.youtube.com/watch?v=XeApthRzOGw&pp=ygUETWV4Yw%3D%3D,Mexc
mexcglobal,426631.0,en,"54000.0: https://www.youtube.com/watch?v=hmA1WRbVrGU&pp=ygUETWV4Yw%3D%3D
50000.0: https://www.youtube.com/watch?v=EbPG5b5YxrU&pp=ygUETWV4Yw%3D%3D
28000.0: https://www.youtube.com/watch?v=EFa1wvw6zoc&pp=ygUETWV4Yw%3D%3D",Mexc
viral,426244.0,en,"200000.0: https://www.youtube.com/watch?v=KlvYyoankrQ&pp=ygUETWV4Yw%3D%3D
190000.0: https://www.youtube.com/watch?v=qh96ivJjy0A&pp=ygUETWV4Yw%3D%3D
36000.0: https://www.youtube.com/watch?v=rnzD77RjHCU&pp=ygUETWV4Yw%3D%3D",Mexc
MEXC,331622.0,en,"44000.0: https://www.youtube.com/watch?v=A8vrl4I6wno&pp=ygUETWV4Yw%3D%3D
31000.0: https://www.youtube.com/watch?v=xonRkA_Pbd0&pp=ygUETWV4Yw%3D%3D
27000.0: https://www.youtube.com/watch?v=qCrUnLs9VFE&pp=ygUETWV4Yw%3D%3D",Mexc
mexican,320000.0,en,"3110000.0: https://www.youtube.com/watch?v=3lkdidU79TY&pp=ygUETWV4Yw%3D%3D
1660000.0: https://www.youtube.com/watch?v=6DfC12VEnNQ&pp=ygUETWV4Yw%3D%3D
200000.0: https://www.youtube.com/watch?v=KlvYyoankrQ&pp=ygUETWV4Yw%3D%3D",Mexc
cryptocurrency,318804.0,en,"70000.0: https://www.youtube.com/watch?v=IhSX3MVcQvg&pp=ygUETWV4Yw%3D%3D
36000.0: https://www.youtube.com/watch?v=rnzD77RjHCU&pp=ygUETWV4Yw%3D%3D
36000.0: https://www.youtube.com/watch?v=6HvLtvWj-i0&pp=ygUETWV4Yw%3D%3D",Mexc
bitcoin,299223.0,en,"36000.0: https://www.youtube.com/watch?v=rnzD77RjHCU&pp=ygUETWV4Yw%3D%3D
36000.0: https://www.youtube.com/watch?v=6HvLtvWj-i0&pp=ygUETWV4Yw%3D%3D
28000.0: https://www.youtube.com/watch?v=fI3tIghdKiU&pp=ygUETWV4Yw%3D%3D",Mexc
youtube,290000.0,en,"26840000.0: https://www.youtube.com/watch?v=0DQbtI52QjM&pp=ygUETWV4Yw%3D%3D
200000.0: https://www.youtube.com/watch?v=KlvYyoankrQ&pp=ygUETWV4Yw%3D%3D
190000.0: https://www.youtube.com/watch?v=qh96ivJjy0A&pp=ygUETWV4Yw%3D%3D",Mexc
politics,290000.0,en,"190000.0: https://www.youtube.com/watch?v=qh96ivJjy0A&pp=ygUETWV4Yw%3D%3D
110000.0: https://www.youtube.com/watch?v=PIV1slVBbKI&pp=ygUETWV4Yw%3D%3D
100000.0: https://www.youtube.com/watch?v=4fX3rlJCXpM&pp=ygUETWV4Yw%3D%3D",Mexc
WorldCupAtHome,290000.0,en,290000.0: https://www.youtube.com/watch?v=BvgNRRE5HOo&pp=ygUETWV4Yw%3D%3D,Mexc
cruisenews,280000.0,nl,"150000.0: https://www.youtube.com/watch?v=dUoRh_AlnXE&pp=ygUETWV4Yw%3D%3D
130000.0: https://www.youtube.com/watch?v=YdDADPpqKO8&pp=ygUETWV4Yw%3D%3D",Mexc
canada,265000.0,es,"250000.0: https://www.youtube.com/watch?v=UrN56pQdAxI&pp=ygUETWV4Yw%3D%3D
15000.0: https://www.youtube.com/watch?v=0YhdhLG_H8E&pp=ygUETWV4Yw%3D%3D",Mexc
MissingPerson,250000.0,en,250000.0: https://www.youtube.com/watch?v=LRkwXhcMOQ4&pp=ygUETWV4Yw%3D%3D,Mexc
Missing,250000.0,en,250000.0: https://www.youtube.com/watch?v=LRkwXhcMOQ4&pp=ygUETWV4Yw%3D%3D,Mexc
tariffs,250000.0,en,250000.0: https://www.youtube.com/watch?v=UrN56pQdAxI&pp=ygUETWV4Yw%3D%3D,Mexc
2024actionmovie,220000.0,en,220000.0: https://www.youtube.com/watch?v=OWyr-b3xubs&pp=ygUETWV4Yw%3D%3D,Mexc
FreeYouTubeMovies,220000.0,en,220000.0: https://www.youtube.com/watch?v=OWyr-b3xubs&pp=ygUETWV4Yw%3D%3D,Mexc
FullFreeMovies,220000.0,en,220000.0: https://www.youtube.com/watch?v=OWyr-b3xubs&pp=ygUETWV4Yw%3D%3D,Mexc
MovieCentral,220000.0,en,220000.0: https://www.youtube.com/watch?v=OWyr-b3xubs&pp=ygUETWV4Yw%3D%3D,Mexc
Cooking,220000.0,en,220000.0: https://www.youtube.com/watch?v=l3aDu6xKQa0&pp=ygUETWV4Yw%3D%3D,Mexc
CincoDeMayo,220000.0,en,220000.0: https://www.youtube.com/watch?v=l3aDu6xKQa0&pp=ygUETWV4Yw%3D%3D,Mexc
GordonRamsay,220000.0,en,220000.0: https://www.youtube.com/watch?v=l3aDu6xKQa0&pp=ygUETWV4Yw%3D%3D,Mexc
